@relation is
@attribute h0 numeric
@attribute h1 numeric
@attribute h2 numeric
@attribute h3 numeric
@attribute h4 numeric
@attribute h5 numeric
@attribute h6 numeric
@attribute h7 numeric
@attribute h8 numeric
@attribute h9 numeric
@attribute digit {0,1,2,3,4,5,6,7,8,9}
@data
20,40,88,25,34,36,82,35,0,0,2
29,41,75,18,34,35,82,17,0,0,3
98,26,52,8,97,25,55,6,0,0,4
56,24,81,20,46,32,75,18,0,0,5
45,15,63,8,47,15,61,10,0,0,7
43,48,47,22,41,43,59,15,0,0,6
39,20,46,22,46,24,31,33,0,0,8
44,34,35,20,47,27,46,16,0,0,9
42,16,44,29,32,22,42,25,0,0,0
55,34,12,2,63,29,14,5,0,0,1
62,38,36,28,75,30,39,33,0,0,2
45,44,49,16,45,43,51,15,0,0,3
77,31,82,10,69,39,74,10,0,0,5
83,11,47,10,82,10,50,8,0,0,4
33,43,34,11,35,39,40,9,0,0,6
56,23,61,7,57,23,60,8,0,0,7
43,16,37,23,47,22,21,33,0,0,8
81,16,51,30,88,17,42,38,0,0,9
32,25,34,13,28,32,24,16,0,0,0
76,35,36,19,83,26,47,17,0,0,1
35,51,64,18,39,49,64,20,0,0,2
52,43,50,15,52,42,52,14,0,0,3
58,31,89,21,50,38,83,20,0,0,5
76,9,37,9,71,10,40,5,0,0,4
30,27,32,21,34,26,30,24,0,0,6
92,24,68,10,91,26,65,11,0,0,7
51,27,25,18,57,25,23,22,0,0,8
72,20,56,21,68,27,46,24,0,0,9
39,18,31,12,34,22,28,11,0,0,0
114,27,6,14,120,21,12,14,0,0,1
39,43,63,28,40,41,66,27,0,0,3
35,23,54,33,45,21,48,41,0,0,2
102,20,59,13,100,20,61,11,0,0,4
52,23,79,22,48,29,71,24,0,0,5
31,46,26,16,35,42,30,16,0,0,6
70,17,72,10,70,18,70,11,0,0,7
37,23,27,30,35,20,35,25,0,0,8
47,14,41,26,47,9,51,21,0,0,9
32,14,28,19,19,23,23,15,0,0,0
75,48,8,2,84,42,11,5,0,0,1
42,40,56,24,43,37,61,22,0,0,3
32,40,53,28,37,45,38,38,0,0,2
77,30,40,14,76,30,41,13,0,0,4
61,29,81,14,50,37,76,11,0,0,5
34,55,30,11,49,49,27,20,0,0,6
64,22,65,6,66,22,63,8,0,0,7
55,15,28,35,45,20,28,30,0,0,8
74,21,40,27,73,13,57,18,0,0,9
42,19,35,31,12,32,39,14,0,0,0
85,88,17,2,92,84,18,5,0,0,1
37,40,40,32,37,40,40,32,0,0,2
38,54,57,17,45,45,68,15,0,0,3
75,30,48,11,74,29,51,9,0,0,4
43,18,58,17,40,20,57,16,0,0,5
29,57,38,17,33,53,42,17,0,0,6
65,33,59,11,66,33,58,12,0,0,7
53,36,22,33,41,39,28,24,0,0,8
58,25,63,12,64,23,61,16,0,0,9
29,27,25,16,36,20,32,16,0,0,0
26,27,41,8,28,28,37,11,0,0,2
34,40,16,5,49,27,27,7,0,0,1
24,21,29,10,27,17,34,9,0,0,3
40,10,18,6,43,9,17,8,0,0,4
30,13,31,6,29,15,28,7,0,0,5
27,26,28,6,26,28,25,7,0,0,6
27,11,29,8,29,10,29,9,0,0,7
47,26,22,19,41,30,20,17,0,0,8
37,16,30,6,47,8,36,8,0,0,9
19,15,20,9,19,14,22,8,0,0,0
53,18,17,23,43,20,23,15,0,0,0
88,50,7,2,97,44,10,5,0,0,1
67,16,31,7,68,15,32,7,0,0,4
71,38,38,15,64,42,37,12,0,0,3
47,22,66,9,40,28,61,8,0,0,5
42,38,33,16,47,37,30,20,0,0,6
42,22,69,5,46,21,67,8,0,0,7
29,15,24,17,34,18,13,25,0,0,8
48,6,39,23,44,9,37,22,0,0,9
31,11,26,20,26,15,23,19,0,0,0
47,29,28,5,53,23,34,5,0,0,1
33,33,30,26,35,30,34,25,0,0,2
33,29,52,17,39,22,60,16,0,0,3
66,12,35,15,63,13,36,13,0,0,4
57,22,85,19,47,29,81,16,0,0,5
42,24,34,19,50,24,26,27,0,0,6
57,9,56,5,61,9,52,9,0,0,7
34,18,37,28,32,24,27,32,0,0,8
29,16,42,9,33,18,34,15,0,0,9
63,31,30,5,69,25,36,5,0,0,1
26,14,17,25,17,14,26,16,0,0,0
34,34,31,27,40,29,35,28,0,0,2
50,28,44,17,54,22,52,15,0,0,3
69,16,55,18,69,15,57,17,0,0,4
53,20,82,21,47,23,82,18,0,0,5
72,12,50,6,76,11,48,9,0,0,7
47,35,43,23,50,33,44,24,0,0,6
48,14,45,27,35,34,18,34,0,0,8
76,12,37,31,72,10,45,25,0,0,9
22,13,30,15,25,14,25,19,0,0,0
42,22,32,18,40,22,34,16,0,0,2
65,27,27,5,73,19,35,5,0,0,1
91,14,43,11,88,14,46,8,0,0,4
29,32,41,17,34,27,46,17,0,0,3
61,21,77,10,54,26,74,8,0,0,5
69,38,32,8,70,42,23,13,0,0,6
47,14,57,18,48,13,58,18,0,0,7
1,0,1,0,0,0,1,0,0,0,8
59,16,45,17,61,16,43,19,0,0,9
34,13,18,14,22,18,20,7,0,0,0
42,38,33,24,46,37,31,27,0,0,2
62,31,33,13,71,22,42,13,0,0,1
38,33,47,13,42,28,53,12,0,0,3
49,21,68,10,43,26,64,9,0,0,5
51,43,29,9,54,46,20,15,0,0,6
101,5,50,13,100,5,51,12,0,0,4
63,9,51,9,66,8,50,11,0,0,7
78,19,43,26,71,27,34,27,0,0,9
45,18,24,25,31,28,18,21,0,0,8
29,33,48,23,35,34,40,30,0,0,2
77,42,21,5,88,31,32,5,0,0,1
39,12,26,22,26,14,35,11,0,0,0
37,36,52,22,41,29,62,19,0,0,3
78,17,56,23,75,20,53,23,0,0,4
54,22,102,22,51,26,97,23,0,0,5
56,53,30,20,63,49,31,23,0,0,6
35,18,17,25,33,16,23,21,0,0,8
75,22,56,10,75,22,56,10,0,0,7
50,35,34,18,56,30,38,19,0,0,9
47,15,24,17,42,20,19,17,0,0,0
80,33,19,5,91,22,30,5,0,0,1
36,38,58,22,44,38,50,30,0,0,2
55,30,41,12,55,29,43,11,0,0,3
71,8,54,10,69,8,56,8,0,0,4
66,12,92,21,56,20,86,19,0,0,5
44,46,28,16,57,38,31,21,0,0,6
86,10,56,6,88,10,54,8,0,0,7
48,15,15,25,39,20,14,21,0,0,8
30,25,11,28,30,19,23,22,0,0,0
77,33,50,11,90,25,53,16,0,0,9
69,39,38,6,78,32,43,8,0,0,1
33,25,64,17,40,23,61,22,0,0,2
36,36,51,16,41,30,58,15,0,0,3
81,9,42,22,78,10,43,20,0,0,4
71,20,71,20,62,28,64,19,0,0,5
56,38,23,18,63,36,20,23,0,0,6
41,28,19,27,38,28,22,24,0,0,8
67,15,52,6,68,17,47,9,0,0,7
59,17,53,27,55,17,57,23,0,0,9
47,13,17,21,37,16,21,14,0,0,0
76,28,22,5,86,18,32,5,0,0,1
50,30,49,30,50,37,35,37,0,0,2
54,26,49,16,56,24,51,16,0,0,3
49,33,69,21,44,39,62,22,0,0,5
97,17,45,11,96,15,50,8,0,0,4
35,49,28,18,37,45,34,16,0,0,6
70,30,31,5,75,28,30,8,0,0,7
46,21,41,20,46,30,23,29,0,0,8
54,16,33,8,53,14,38,5,0,0,4
38,23,43,20,41,20,46,20,0,0,9
54,16,36,6,57,16,33,9,0,0,7
43,22,50,11,43,23,48,12,0,0,5
50,39,29,6,51,43,20,11,0,0,6
40,21,17,18,43,19,18,19,0,0,8
46,37,15,10,35,42,16,4,0,0,0
30,23,34,20,37,16,41,20,0,0,2
59,33,15,12,62,28,22,10,0,0,1
52,21,41,10,47,26,36,10,0,0,3
85,8,27,11,79,10,29,7,0,0,4
42,10,51,21,34,16,47,19,0,0,5
36,23,28,7,38,22,28,8,0,0,6
